CODE_LIGNE,LIB_LIGNE,origin,destination
001306,Raccordement de l'Évangile,,
001379,Raccordement de la ligne EOLE à la ligne Paris-Mulhouse,,
002000,Ligne de Gretz-Armainvilliers à Sézanne,Gretz-Armainvilliers,Sézanne
004000,Ligne de Mézy à Romilly-sur-Seine,Mézy,Romilly-sur-Seine
005000,Ligne de Paris à Strasbourg (LGV),Paris,Strasbourg (LGV)
005315,Raccordement des Trois Puits,,
005317,Voie navette,,
005329,Raccordement de Châlons Nord,,
005330,Raccordement de Châlons Sud,,
005340,Raccordement de Vandières,,
005341,Raccordement de Pagny,,
005343,Raccordement de Baudrecourt,,
005345,Raccordement de Herny,,
006000,Ligne de Coolus à Sens,Coolus,Sens
010000,Ligne de Oiry-Mareuil à Romilly-sur-Seine,Oiry-Mareuil,Romilly-sur-Seine
012000,Ligne de Troyes à Brienne-le-Château,Troyes,Brienne-le-Château
013000,Ligne de Vallentigny à Vitry-le-François,Vallentigny,Vitry-le-François
014000,Ligne Rhin-Rhône (LGV),,
014300,RaccordementOuest Besançon TGV,,
014330,Raccordement de PETIT - CROIX,,
015000,Ligne de Jessains à Sorcy,Jessains,Sorcy
020000,Ligne de Blesme-Haussignémont à Chaumont,Blesme-Haussignémont,Chaumont
026000,Ligne de Bologne à Pagny-sur-Meuse,Bologne,Pagny-sur-Meuse
027000,Ligne de Nançois-Tronville à Neufchâteau,Nançois-Tronville,Neufchâteau
030000,Ligne de Neufchâteau à Épinal,Neufchâteau,Épinal
031950,Saut-de-mouton de Chaudenay,,
032000,Ligne de Culmont-Chalindrey à Toul,Culmont-Chalindrey,Toul
033000,Ligne de Langres à Andilly-en-Bassigny,Langres,Andilly-en-Bassigny
035000,Ligne de Merrey à Hymont-Mattaincourt,Merrey,Hymont-Mattaincourt
039000,Ligne de Toul à Rosières-aux-Salines,Toul,Rosières-aux-Salines
039306,Raccordement de Neuves-Maisons n° 1,,
040000,Ligne de Jarville-la-Malgrange à Mirecourt,Jarville-la-Malgrange,Mirecourt
040306,Raccordement de Neuves-Maisons n° 2,,
041000,Ligne de Barisey-la-Côte à Frenelle-la-Grande-Puzieux,Barisey-la-Côte,Frenelle-la-Grande-Puzieux
042000,Ligne de Blainville-Damelevières à Lure,Blainville-Damelevières,Lure
054000,Ligne de Corbenay à Faymont,Corbenay,Faymont
055000,Ligne de Bas-Évette à Giromagny,Bas-Évette,Giromagny
