Line,Start Station,End Station,Start Coordinates (WGS84),End Coordinates (WGS84)
Arona - Domodossola,STRA,BAVE,"(8.531954236772664, 45.88433355581456)","(8.531954236772664, 45.88433355581456)"
Arona - Domodossola,MERG,CUZZ,"(8.440486973223035, 45.96133966358524)","(8.326993971831053, 46.00241643032557)"
Arona - Domodossola,PREM,VOGO,"(8.295155274651348, 46.00538921249381)","(8.326993971831053, 46.00241643032557)"
Brugg - Hendschiken,OTH,HDKN,"(8.214709844379888, 47.40750428088617)","(8.2054942231526, 47.39115698353167)"
Killwangen West - Lenzburg - Däniken Ost,GEXI,LB,"(8.192647420946845, 47.39251270643222)","(8.17053398915826, 47.39139351438678)"
Gexi Ost - Rotkreuz - Immensee West,HDKN,HDK,"(8.2054942231526, 47.39115698353167)","(8.20745931162796, 47.38946899213252)"
Arona - Domodossola,VOGO,DOFS,"(8.326993971831053, 46.00241643032557)","(8.295155274651348, 46.00538921249381)"
Killwangen West - Lenzburg - Däniken Ost,LBW,RU,"(8.165976233062523, 47.392774843181634)","(8.126909861591262, 47.40338547374952)"
Milano Porta Garibaldi - Greco Pirelli,MIGA,MIGP,"(9.187977866352707, 45.48377034210933)","(9.21396328697385, 45.51266254971855)"
Basel SBB - Olten - Luzern,EBR,FMUE,"(8.282658702735871, 47.0706650507281)","(8.28689157856337, 47.05661279110065)"
Klosters - Davos - Filisur,DAV,DAF,"(9.84218288061566, 46.80959146882408)","(9.779733282942153, 46.74496664256003)"
Belfort - Delle,BELF,METG,"(6.898440592228725, 47.58602001637746)","(6.89817629555534, 47.585875986708864)"
Delémont - Basel SBB,DOR,MST,"(7.611253695702545, 47.4886261117623)","(7.617450225935991, 47.51342939000314)"
Zürich Stadelhofen - Esslingen,ZREH,WALG,"(8.582978957432323, 47.35102727603773)","(8.592958663220594, 47.34558292961852)"
Delémont - Basel SBB,MST,RUC,"(7.617450225935991, 47.51342939000314)","(7.612101842794898, 47.533936167000434)"
Delémont - Delle,CCH,CTM,"(7.057730792989834, 47.439784652224645)","(7.055486353613329, 47.45590618771151)"
Milano Centrale - Como - Chiasso,BIRO,CONC,"(9.076654399245626, 45.769247375236326)","(9.072961854335, 45.77692151352196)"
Delémont - Delle,POR,CCH,"(7.080214750520177, 47.42089284122008)","(7.057730792989834, 47.439784652224645)"
Delémont - Delle,BCT,DLF,"(7.016296210964156, 47.492583247070016)","(7.012876302782924, 47.50280203484761)"
Delémont - Delle,GRA,BX,"(7.048038370056792, 47.469878242601965)","(7.030089592822369, 47.479387204249825)"
Lausanne Est - Bern,BOSS,GRV,"(6.699249464534899, 46.50968824659647)","(6.722681241574897, 46.49686459401743)"
Gellert Süd - Basel SBB RB Nordkopf,GESD,BSHM,"(7.616308315652814, 47.54461480294161)","(7.628805683212091, 47.54034099256869)"
Hagnau - Basel Werkstätte Hardacker,BSHA,BSWH,"(7.623024371975756, 47.54152170197786)","(7.634209854652416, 47.539909326044615)"
Basel Klybeck (Spw) - Basel Mitte,BSKO,BSK,"(7.588889591264078, 47.57675199301571)","(7.588889591264078, 47.57675199301571)"
Lausanne Est - Bern,PUI,MRL,"(6.765826561253106, 46.493772260756174)","(6.785720589463296, 46.5083833283963)"
Basel Rankhof - Basel Gundeli Ost,BADT,BSKO,"(7.606675903293345, 47.56922697472018)","(7.588889591264078, 47.57675199301571)"
Lausanne Est - Bern,CHE,COT,"(7.000429644654894, 46.74921079796848)","(7.034788002370377, 46.75131508352589)"
Lausanne Est - Bern,SCMI,WUE,"(7.253872645914994, 46.86288863976307)","(7.280699640866889, 46.8718147268767)"
Lausanne Est - Bern,NWA,BNBS,"(7.376406286430183, 46.925550486303074)","(7.395317152626427, 46.93742831832052)"
Lausanne Est - Bern,WUE,FLM,"(7.280699640866889, 46.8718147268767)","(7.319516635112115, 46.88831535283304)"
Palézieux Est - Lyss Nord,PAY,PAYE,"(6.940128605785799, 46.819506475774155)","(6.948021659080058, 46.82700600851874)"
Lausanne Est - Bern,THO,OWA,"(7.356905777430522, 46.90465706940061)","(7.362270691502766, 46.914552021538185)"
Palézieux Est - Lyss Nord,PALV,CHAT,"(6.828868361339001, 46.557167042832035)","(6.815529959819741, 46.57058101327269)"
Palézieux Est - Lyss Nord,BZ,MD,"(6.791339998577472, 46.653162037399454)","(6.802575737773744, 46.66801495419766)"
Palézieux Est - Lyss Nord,HEN,GM,"(6.870045991565366, 46.73503629829498)","(6.894358852243032, 46.75881932020066)"
Palézieux Est - Lyss Nord,GM,TREY,"(6.894358852243032, 46.75881932020066)","(6.916194663756049, 46.779980057017866)"
Lausanne - Genève-Aéroport,VEN,CHY,"(6.147335050881094, 46.24610327356008)","(6.147304324591572, 46.24094485512748)"
Daillens - Biel/Bienne,SBL,CORN,"(6.982076207937125, 47.0146563984646)","(7.023525551398174, 47.03852338097572)"
Daillens - Biel/Bienne,LIG,TWN,"(7.135243046973202, 47.08369285712055)","(7.156606266033422, 47.09356036977698)"
Auvernier - Les Verrières frontière,BOLE,CDM,"(6.838374496659204, 46.96942291832487)","(6.775001765788739, 46.95980009774112)"
Nidelbad Süd - Thalwil Nord,NIDO,TWNO,"(8.554357528067134, 47.30179863906354)","(8.56117714325829, 47.298968619593744)"
Auvernier - Les Verrières frontière,CDM,NOI,"(6.775001765788739, 46.95980009774112)","(6.721743655496948, 46.954734576784446)"
Auvernier - Les Verrières frontière,NOI,TR,"(6.721743655496948, 46.954734576784446)","(6.676488299869954, 46.94254641198291)"
Lausanne - Genève-Aéroport,GE,SJ,"(6.142302352472393, 46.21029359525509)","(6.127722541428433, 46.20555299035831)"
Auvernier - Les Verrières frontière,LBA,VER,"(6.523693964668335, 46.908875198348646)","(6.479297156131072, 46.9054941964708)"
Chambrelien Nord - Le Locle (Frontière),MML,GEC,"(6.84288663841622, 46.991359746294094)","(6.853409369441293, 47.01506465339059)"
Biel/Bienne West - La Chaux-de-Fonds,COG,CO,"(7.144700044287695, 47.193331774876306)","(7.107333045997925, 47.1894710776517)"
Biel/Bienne West - La Chaux-de-Fonds,CTY,CORM,"(7.068855856088429, 47.175501467458545)","(7.054167816046415, 47.17290236329344)"
Biel/Bienne West - La Chaux-de-Fonds,VT,STI,"(7.019640387670963, 47.16026200526373)","(7.001267671782543, 47.15161676530526)"
Wohlen BDWM - Bremgarten West,WOSU,WOOB,"(8.27423119870172, 47.34498681781431)","(8.286269313221272, 47.34688842230002)"
Lausanne - Simplon Tunnel I - Iselle,LTY,VTE,"(6.690660394183635, 46.50384954583664)","(6.707407426000644, 46.49545417455638)"
Lausanne - Simplon Tunnel I - Iselle,TOUR,BURI,"(6.859615584760046, 46.45551150973481)","(6.877167320641524, 46.44799082756099)"
Olten - Solothurn - Biel/Bienne,BIAE,BI,"(7.249009563129622, 47.1306497540173)","(7.242763435365373, 47.13268762463567)"
Les Paluds - Saint-Gingolph frontière,PDS,MAS,"(7.000301637052433, 46.22953304772686)","(6.985703017336367, 46.24124064539429)"
Lausanne-Triage F - Lausanne-Triage Sud,LTK,LTS,"(6.526707853299379, 46.523997832078315)","(6.533993711835767, 46.524983502235735)"
Lausanne - Simplon Tunnel I - Iselle,VI,GAMS,"(7.881469196079606, 46.29411001075375)","(7.940283674372029, 46.30385018816439)"
