station,coordinates
STRA,"(8.502295464275395, 45.90926818921236)"
BAVE,"(8.531954236772664, 45.88433355581456)"
MERG,"(8.37260972013929, 45.99381541572627)"
CUZZ,"(8.440486973223035, 45.96133966358524)"
PREM,"(8.295155274651348, 46.00538921249381)"
VOGO,"(8.326993971831053, 46.00241643032557)"
OTH,"(8.214578539857419, 47.40760144037056)"
HDKN,"(8.205603346607152, 47.39121557020717)"
GEXI,"(8.192647420946845, 47.39251270643222)"
LB,"(8.17053398915826, 47.39139351438678)"
HDK,"(8.20745931162796, 47.38946899213252)"
DOFS,"(8.295155274651348, 46.00538921249381)"
LBW,"(8.165976233062523, 47.392774843181634)"
RU,"(8.126909861591262, 47.40338547374952)"
MIGA,"(9.187977866352707, 45.48377034210933)"
MIGP,"(9.21396328697385, 45.51266254971855)"
EBR,"(8.282658702735871, 47.0706650507281)"
FMUE,"(8.28689157856337, 47.05661279110065)"
DAV,"(9.820926063433374, 46.79131746190811)"
DAF,"(9.7991351530507, 46.76648150442152)"
BELF,"(6.898440592228725, 47.58602001637746)"
METG,"(6.851967030270928, 47.635243585180355)"
DOR,"(7.611253695702545, 47.4886261117623)"
MST,"(7.617450225935991, 47.51342939000314)"
ZREH,"(8.582978957432323, 47.35102727603773)"
WALG,"(8.592958663220594, 47.34558292961852)"
RUC,"(7.612101842794898, 47.533936167000434)"
CCH,"(7.057730792989834, 47.439784652224645)"
CTM,"(7.055486353613329, 47.45590618771151)"
BIRO,"(9.076654399245626, 45.769247375236326)"
CONC,"(9.07946246788788, 45.78450387576198)"
POR,"(7.080214750520177, 47.42089284122008)"
BCT,"(7.016296210964156, 47.492583247070016)"
DLF,"(7.012876302782924, 47.50280203484761)"
GRA,"(7.048038370056792, 47.469878242601965)"
BX,"(7.030089592822369, 47.479387204249825)"
BOSS,"(6.699249464534899, 46.50968824659647)"
GRV,"(6.722681241574897, 46.49686459401743)"
GESD,"(7.616308315652814, 47.54461480294161)"
BSHM,"(7.628805683212091, 47.54034099256869)"
BSHA,"(7.623030941921322, 47.541531854552616)"
BSWH,"(7.634209854652416, 47.539909326044615)"
BSKO,"(7.588889591264078, 47.57675199301571)"
BSK,"(7.595368197786692, 47.578749051210124)"
PUI,"(6.765826561253106, 46.493772260756174)"
MRL,"(6.785720589463296, 46.5083833283963)"
BADT,"(7.595368197786692, 47.578749051210124)"
CHE,"(7.000429644654894, 46.74921079796848)"
COT,"(7.034788002370377, 46.75131508352589)"
SCMI,"(7.253872645914994, 46.86288863976307)"
WUE,"(7.280699640866889, 46.8718147268767)"
NWA,"(7.376406286430183, 46.925550486303074)"
BNBS,"(7.395317152626427, 46.93742831832052)"
FLM,"(7.319516635112115, 46.88831535283304)"
PAY,"(6.940128605785799, 46.819506475774155)"
PAYE,"(6.948021659080058, 46.82700600851874)"
THO,"(7.356905777430522, 46.90465706940061)"
OWA,"(7.362270691502766, 46.914552021538185)"
PALV,"(6.828868361339001, 46.557167042832035)"
CHAT,"(6.815529959819741, 46.57058101327269)"
BZ,"(6.791339998577472, 46.653162037399454)"
MD,"(6.802575737773744, 46.66801495419766)"
HEN,"(6.870045991565366, 46.73503629829498)"
GM,"(6.894358852243032, 46.75881932020066)"
TREY,"(6.916194663756049, 46.779980057017866)"
VEN,"(6.147335050881094, 46.24610327356008)"
CHY,"(6.147304324591572, 46.24094485512748)"
SBL,"(6.982076207937125, 47.0146563984646)"
CORN,"(7.023525551398174, 47.03852338097572)"
LIG,"(7.135243046973202, 47.08369285712055)"
TWN,"(7.156597171641102, 47.09356903650815)"
BOLE,"(6.838374496659204, 46.96942291832487)"
CDM,"(6.775001765788739, 46.95980009774112)"
NIDO,"(8.554357528067134, 47.30179863906354)"
TWNO,"(8.56117714325829, 47.298968619593744)"
NOI,"(6.721743655496948, 46.954734576784446)"
TR,"(6.676488299869954, 46.94254641198291)"
GE,"(6.142302352472393, 46.21029359525509)"
SJ,"(6.127722541428433, 46.20555299035831)"
LBA,"(6.523693964668335, 46.908875198348646)"
VER,"(6.479297156131072, 46.9054941964708)"
MML,"(6.84288663841622, 46.991359746294094)"
GEC,"(6.853409369441293, 47.01506465339059)"
COG,"(7.144700044287695, 47.193331774876306)"
CO,"(7.107333045997925, 47.1894710776517)"
CTY,"(7.068855856088429, 47.175501467458545)"
CORM,"(7.054167816046415, 47.17290236329344)"
VT,"(7.019640387670963, 47.16026200526373)"
STI,"(7.001267671782543, 47.15161676530526)"
WOSU,"(8.27423119870172, 47.34498681781431)"
WOOB,"(8.286269313221272, 47.34688842230002)"
LTY,"(6.690660394183635, 46.50384954583664)"
VTE,"(6.707407426000644, 46.49545417455638)"
TOUR,"(6.859615584760046, 46.45551150973481)"
BURI,"(6.877167320641524, 46.44799082756099)"
BIAE,"(7.249009563129622, 47.1306497540173)"
BI,"(7.242763435365373, 47.13268762463567)"
PDS,"(7.000248051182425, 46.2295170518139)"
MAS,"(6.985703017336367, 46.24124064539429)"
LTK,"(6.526707853299379, 46.523997832078315)"
LTS,"(6.533953169798643, 46.52505950273717)"
VI,"(7.881469196079606, 46.29411001075375)"
GAMS,"(7.940283674372029, 46.30385018816439)"
EGL,"(8.516505667259562, 47.572281832554296)"
HUEW,"(8.513010482533545, 47.581214416700085)"
LSA,"(6.517424053858134, 46.658836607260895)"
AX,"(6.518825337936893, 46.698135835220896)"
YV,"(6.640972510963019, 46.78159724764797)"
GRS,"(6.642034809779907, 46.80617718496193)"
ONB,"(6.689975705204106, 46.8325210182838)"
CC,"(6.723157409168159, 46.85088154377158)"
KHGR,"(9.17693931970466, 47.65444461478417)"
KODB,"(9.17737316203773, 47.65804431528015)"
BRIT,"(7.957254188310889, 47.26271940755814)"
REID,"(7.968704938586979, 47.24145103452298)"
SOM,"(7.851528711872716, 47.439046094109685)"
RLG,"(7.850621079220225, 47.4253740713203)"
NEB,"(7.977576717692426, 47.19240449209135)"
WAU,"(8.01902049000301, 47.18385610318366)"
NO,"(8.138695187532115, 47.138868114326336)"
SEM,"(8.195969358294674, 47.115989705754046)"
BSFR,"(7.567594936517107, 47.577560150045784)"
BSSJ,"(7.572063634325176, 47.57020199739307)"
SORD,"(8.647562281151728, 46.51757334248669)"
AP,"(8.68995955863185, 46.51084365685263)"
PIA,"(8.860923029904674, 46.42078893727116)"
GIOC,"(8.869165655735081, 46.40697386096776)"
GIO,"(8.872001301483108, 46.40259609765194)"
BO,"(8.906447162686844, 46.38017619878081)"
BSW,"(7.579567394202969, 47.54619029197546)"
BS,"(7.589452965195847, 47.547263161571)"
RZ,"(8.543562832946524, 47.603713191956885)"
KWL,"(9.317502042733128, 47.5955659999448)"
GUET,"(9.292323532525797, 47.60881957921199)"
ZSEO,"(8.547362461948138, 47.41884548775118)"
ZSEB,"(8.544683140557849, 47.41862294394323)"
UET,"(8.67878709850543, 47.25903013040625)"
MAEN,"(8.692470992157583, 47.25353913651857)"
BUB,"(8.822797325529956, 47.270896076201616)"
WZ,"(8.791980684082649, 47.31786974468382)"
AAT,"(8.765622215858128, 47.3359572063553)"
UST,"(8.718791223988816, 47.3504356913344)"
HI,"(8.839639664801293, 47.30001670591995)"
GELF,"(8.26485362808104, 47.213577237001495)"
HIK,"(8.25192432613219, 47.22262327233666)"
ESEE,"(8.242423188943881, 47.229732313991235)"
MO,"(8.224242731983882, 47.24432533623369)"
SINS,"(8.397958469493378, 47.18832128768397)"
OI,"(8.404905128039701, 47.1659471287803)"
REGW,"(8.457815481772549, 47.444150795637434)"
BUD,"(8.435583309111045, 47.453289816050884)"
ZLST,"(8.528605163476382, 47.38077615437937)"
ZAU,"(8.52014614275759, 47.37882207014244)"
RK,"(8.430340180943071, 47.14209091812775)"
FSMF,"(8.810627746243535, 46.49783715971881)"
POZZ,"(8.925407278395445, 46.37258342835626)"
HGO,"(8.58965667897434, 47.25864304408458)"
SBG,"(8.577351952300994, 47.23832498142603)"
ZUE,"(8.540212321503494, 47.37817662051564)"
TAVS,"(8.928318712375027, 46.05247153706953)"
LGV,"(8.917701834475197, 46.02005169245087)"
MUEL,"(9.015503573018124, 47.58807060695498)"
MAER,"(9.062111706422433, 47.5827208798666)"
DENA,"(6.541824926055563, 46.52953513563661)"
DEN,"(6.540560224327431, 46.52905202381781)"
ALSA,"(8.957858802882402, 46.14660764519717)"
ALME,"(8.949142504885643, 46.14398099218422)"
SG,"(9.36955316878893, 47.42337845442137)"
SGW,"(9.359505096327771, 47.41635043393007)"
SGBR,"(9.329711313444479, 47.40712437701719)"
SGWI,"(9.300886660391745, 47.40398392882965)"
ZAS,"(8.489013779269417, 47.39157042665541)"
ZMUE,"(8.47040288700325, 47.39660505764874)"
ZHDW,"(8.503689671182817, 47.389008130262845)"
ZASO,"(8.49509698086612, 47.39062091847455)"
HPT,"(9.251529184621885, 47.47678693620006)"
ARN,"(9.251926926544604, 47.44202233001731)"
LUET,"(9.07106290267075, 47.38483529057606)"
BUET,"(9.075258388699046, 47.35960086797708)"
KAB,"(9.022540213287597, 47.21809554782031)"
UZ,"(8.98062592009052, 47.22413312887591)"
REB,"(9.58686042474657, 47.392527004425986)"
HEBG,"(9.62742070822595, 47.410259225347566)"
KAL,"(7.235120285759814, 47.0255888379673)"
BRG,"(7.261166006169391, 47.04019237266413)"
ABOW,"(7.906862996726733, 47.313662896303335)"
