station,WGS84,UTM
STRA,"(8.531954236772664, 45.88433355581456)","(463682.70228382346, 5081302.785106079)"
BAVE,"(8.531954236772664, 45.88433355581456)","(463682.70228382346, 5081302.785106079)"
MERG,"(8.440486973223035, 45.96133966358524)","(456645.4700536885, 5089904.25543975)"
CUZZ,"(8.326993971831053, 46.00241643032557)","(447889.8946977975, 5094536.13995157)"
PREM,"(8.295155274651348, 46.00538921249381)","(445427.5871931132, 5094887.76037985)"
VOGO,"(8.326993971831053, 46.00241643032557)","(447889.8946977975, 5094536.13995157)"
OTH,"(8.214709844379888, 47.40750428088617)","(440753.459759446, 5250749.111761017)"
HDKN,"(8.2054942231526, 47.39115698353167)","(440039.6422357302, 5248939.440018073)"
GEXI,"(8.192647420946845, 47.39251270643222)","(439071.67800523766, 5249100.081179411)"
LB,"(8.17053398915826, 47.39139351438678)","(437401.53197820997, 5248993.247624762)"
HDK,"(8.20745931162796, 47.38946899213252)","(440186.03434118966, 5248750.336517941)"
DOFS,"(8.295155274651348, 46.00538921249381)","(445427.5871931132, 5094887.76037985)"
LBW,"(8.165976233062523, 47.392774843181634)","(437059.21220735385, 5249150.434155323)"
RU,"(8.126909861591262, 47.40338547374952)","(434124.25878529134, 5250361.954267738)"
MIGA,"(9.187977866352707, 45.48377034210933)","(514690.32754200714, 5036710.622543462)"
MIGP,"(9.21396328697385, 45.51266254971855)","(516712.51899806666, 5039925.540539826)"
EBR,"(8.282658702735871, 47.0706650507281)","(445535.7611670522, 5213266.55411069)"
FMUE,"(8.28689157856337, 47.05661279110065)","(445842.91190601856, 5211702.030990599)"
DAV,"(9.84218288061566, 46.80959146882408)","(564254.4042402335, 5184349.3636684045)"
DAF,"(9.779733282942153, 46.74496664256003)","(559561.0452905861, 5177118.991384877)"
BELF,"(6.898440592228725, 47.58602001637746)","(341986.210980783, 5272429.692249672)"
METG,"(6.89817629555534, 47.585875986708864)","(341965.9059239818, 5272414.224460427)"
DOR,"(7.611253695702545, 47.4886261117623)","(395387.04100021115, 5260400.333543939)"
MST,"(7.617450225935991, 47.51342939000314)","(395902.8615264699, 5263148.482260903)"
ZREH,"(8.582978957432323, 47.35102727603773)","(468504.0004242956, 5244258.005076288)"
WALG,"(8.592958663220594, 47.34558292961852)","(469254.5668350501, 5243648.972086751)"
